N,p_gen,p_swap,delta_pct,region
12,0.05,0.84,51.95226209943483,inset
12,0.05,0.87,53.514144707852296,inset
12,0.05,0.9,52.915611876088334,inset
12,0.05,0.93,42.38824341209601,inset
12,0.05,0.96,49.72576098594935,inset
12,0.05,0.99,42.7629367193359,inset
12,0.08,0.75,62.394396094247504,inset
12,0.08,0.78,62.15362804485115,inset
12,0.08,0.81,69.35187780902686,inset
12,0.08,0.84,72.37364771423248,inset
12,0.08,0.87,69.14007433038574,inset
12,0.08,0.9,70.71591355599213,inset
12,0.08,0.93,68.13182465579996,inset
12,0.08,0.96,67.17686253681617,inset
12,0.08,0.99,61.45272867025364,inset
12,0.11,0.75,73.3515957107069,inset
12,0.11,0.78,78.50346054358887,inset
12,0.11,0.81,82.22105403691467,inset
12,0.11,0.84,80.39612440447513,inset
12,0.11,0.87,78.51805728518057,inset
12,0.11,0.9,72.99608551641073,inset
12,0.11,0.93,75.81991199358377,inset
12,0.11,0.96,67.72376046361882,inset
12,0.11,0.99,68.34678810460221,inset
12,0.14,0.75,80.94958085635814,inset
12,0.14,0.78,84.12543780298286,inset
12,0.14,0.81,86.28112811281127,inset
12,0.14,0.84,78.56413950417192,inset
12,0.14,0.87,80.97212344094228,inset
12,0.14,0.9,78.16898251904975,inset
12,0.14,0.93,75.30151282745345,inset
12,0.14,0.96,78.69078042068016,inset
12,0.14,0.99,74.06549395319615,inset
12,0.17,0.75,86.45977126590519,inset
12,0.17,0.78,87.36726848788481,inset
12,0.17,0.81,87.95251916091694,inset
12,0.17,0.84,89.59663849007586,inset
12,0.17,0.87,87.34178775218446,inset
12,0.17,0.9,86.8529308057827,inset
12,0.17,0.93,77.53092734072818,inset
12,0.17,0.96,77.89182372311356,inset
12,0.17,0.99,75.59416200008819,inset
12,0.2,0.75,88.92222327403533,inset
12,0.2,0.78,89.79588808345514,inset
12,0.2,0.81,90.13915120306928,inset
12,0.2,0.84,91.77577442124127,inset
12,0.2,0.87,90.3255746676149,inset
12,0.2,0.9,88.38066371605214,inset
12,0.2,0.93,73.65477071005917,inset
12,0.2,0.96,75.99782785772469,inset
12,0.2,0.99,78.41749611907588,inset
12,0.23,0.75,90.73458207279307,inset
12,0.23,0.78,90.64611755705724,inset
12,0.23,0.81,90.88217494530049,inset
12,0.23,0.84,92.6234059757036,inset
12,0.23,0.87,91.28366864206323,inset
12,0.23,0.9,81.61395211350873,inset
12,0.23,0.93,75.3490793771004,inset
12,0.23,0.96,81.1028838659392,inset
12,0.23,0.99,71.86153109393172,inset
15,0.1,0.1,0.0,coarse
15,0.1,0.2,0.0,coarse
15,0.1,0.3,0.0,coarse
15,0.1,0.4,0.17437499999999773,coarse
15,0.1,0.5,1.292500000000004,coarse
15,0.1,0.6,7.518749999999998,coarse
15,0.1,0.7,37.41146824310996,coarse
15,0.1,0.8,70.74088164988119,coarse
15,0.1,0.9,74.55787034168226,coarse
15,0.1,1.0,65.21998015216673,coarse
15,0.2,0.1,0.0,coarse
15,0.2,0.2,0.0,coarse
15,0.2,0.3,0.0,coarse
15,0.2,0.4,0.26874999999999716,coarse
15,0.2,0.5,6.244375000000005,coarse
15,0.2,0.6,33.54875,coarse
15,0.2,0.7,76.3373903198415,coarse
15,0.2,0.8,88.23831037445605,coarse
15,0.2,0.9,90.70481013813321,coarse
15,0.2,1.0,75.84615384615385,coarse
15,0.3,0.1,0.0,coarse
15,0.3,0.2,0.0,coarse
15,0.3,0.3,0.0,coarse
15,0.3,0.4,1.2549999999999955,coarse
15,0.3,0.5,15.785624999999994,coarse
15,0.3,0.6,55.979349717063485,coarse
15,0.3,0.7,84.88216575197158,coarse
15,0.3,0.8,92.49449420055792,coarse
15,0.3,0.9,93.20974217578484,coarse
15,0.3,1.0,80.14563361098014,coarse
15,0.4,0.1,0.0,coarse
15,0.4,0.2,0.0,coarse
15,0.4,0.3,0.07062500000000682,coarse
15,0.4,0.4,2.113749999999996,coarse
15,0.4,0.5,26.358750000000004,coarse
15,0.4,0.6,71.1625,coarse
15,0.4,0.7,89.63585434173669,coarse
15,0.4,0.8,94.21761533130443,coarse
15,0.4,0.9,94.15911878771358,coarse
15,0.4,1.0,75.91425937307929,coarse
15,0.5,0.1,0.0,coarse
15,0.5,0.2,0.0,coarse
15,0.5,0.3,0.2893750000000068,coarse
15,0.5,0.4,5.018124999999998,coarse
